Кореневий домен,,"Стартові URL сайту не повинні проходити через кілька послідовних редиректів перед відкриттям фінальної сторінки. Якщо окрема головна сторінка не передбачена, кореневий домен і мовні URL верхнього рівня мають одразу перенаправляти користувача та пошукового бота на релевантну кінцеву сторінку відповідної мовної версії."
http://miomio.com.ua/,,
http://miomio.com.ua,,Що зробити:
https://miomio.com.ua/,,Налаштувати один канонічний варіант домену та протоколу.
https://miomio.com.ua,,Усі альтернативні версії домену мають вести на фінальний URL за один постійний 301 редирект.
http://www.miomio.com.ua/,,
http://www.miomio.com.ua,,Для цього:
https://www.miomio.com.ua/,,прибрати багатокрокові ланцюжки редиректів
,,не використовувати 307 для постійної логіки маршрутизації
Мовні URL верхнього рівня,,зафіксувати єдину канонічну версію домену
http://miomio.com.ua/uk/,,уніфікувати поведінку URL зі слешем і без нього
http://miomio.com.ua/uk,,зберегти послідовну мовну логіку стартових URL
https://miomio.com.ua/uk/,,
https://miomio.com.ua/uk,,Як це має працювати:
http://www.miomio.com.ua/uk/,,"кореневий домен має вести або на окрему головну сторінку з кодом 200, або одразу на цільову стартову сторінку сайту за один 301 редирект"
http://www.miomio.com.ua/uk,,
https://www.miomio.com.ua/uk/,,/uk і /uk/ мають вести на релевантну українську сторінку
http://miomio.com.ua/ru/,,/ru і /ru/ мають вести на релевантну російську сторінку
http://miomio.com.ua/ru,,"http, https, www, non-www, варіанти зі слешем і без нього не повинні створювати додаткові проміжні переходи"
https://miomio.com.ua/ru/,,
https://miomio.com.ua/ru,,
http://www.miomio.com.ua/ru/,,
https://www.miomio.com.ua/ru/,,
https://www.miomio.com.ua/ru,,
,,
Стартові категорії,,
http://miomio.com.ua/uk/woman,,
http://miomio.com.ua/uk/woman/,,
https://miomio.com.ua/uk/woman,,
https://miomio.com.ua/uk/woman/,,
http://www.miomio.com.ua/uk/woman,,
http://www.miomio.com.ua/uk/woman/,,
https://www.miomio.com.ua/uk/woman/,,
http://miomio.com.ua/ru/woman,,
http://miomio.com.ua/ru/woman/,,
https://miomio.com.ua/ru/woman,,
https://miomio.com.ua/ru/woman/,,
http://www.miomio.com.ua/ru/woman,,
http://www.miomio.com.ua/ru/woman/,,
https://www.miomio.com.ua/ru/woman/,,
